Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color Variants (product.metafields.custom.color_variants),Product Information (product.metafields.custom.product_information),Board game mechanics (product.metafields.shopify.board-game-mechanics),Color (product.metafields.shopify.color-pattern),Dexterity skills (product.metafields.shopify.dexterity-skills),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Recommended age group (product.metafields.shopify.recommended-age-group),Stationery binding type (product.metafields.shopify.stationery-binding-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
oyster-caviar-tools,Oyster & Caviar Tools,"<p>Indulge in life’s finest moments with our Oyster &amp; Caviar Kit - an elegant set celebrating the art of slow dining and refined taste. Presented in a luxurious, book-like box, it contains essential tools for serving and enjoying oysters and caviar at their best. Crafted from stainless steel, wood, and ceramic, each piece combines functionality with timeless design. The perfect gift for true gourmets and hosts who appreciate the little luxuries in life. <br><br>Included in this set: <br>• Oyster Knife with wooden block for safe opening <br>• Caviar Spoons in ceramic to preserve delicate flavor <br>• Oyster Forks for serving <br>• Caviar Key for opening tins with ease</p>",Printworks,The Essentials,The Essentials,"medium-bag, SS26",true,Title,Default Title,,,,,,,,PW00785,770,shopify,deny,manual,75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_oysters.jpg?v=1767965902,1,,false,,,,"Vendor: Printworks
Type: The Essentials
Weight: 770g",,,,,,,,,,,,,,kg,,,active
oyster-caviar-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_oysters_3.jpg?v=1767965902,2,,,,,,,,,,,,,,,,,,,,,,,
oyster-caviar-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_Oyster-Caviar_1.jpg?v=1767965902,3,,,,,,,,,,,,,,,,,,,,,,,
oyster-caviar-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_Oyster-Caviar_2.jpg?v=1767965902,4,,,,,,,,,,,,,,,,,,,,,,,
oyster-caviar-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_oysters_2.jpg?v=1767965902,5,,,,,,,,,,,,,,,,,,,,,,,
oyster-caviar-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_oysters_4.jpg?v=1767965343,6,,,,,,,,,,,,,,,,,,,,,,,
cheese-tools-large,"Cheese Tools, Premium","<p>Discover the ultimate set for every cheese lover - a refined toolbox presented in an elegant, book-like box. This larger edition includes four stainless steel tools crafted for all your favorite varieties, from soft and creamy Brie to aged and firm Parmesan. A beautiful and functional centerpiece for any cheese board, and the perfect gift for the bon vivant and anyone who appreciates thoughtful design. All tools are dishwasher safe. <br><br>Included in this set: <br>• Cheese Knife for soft and semi-soft cheeses <br>• Pronged Knife for slicing and serving <br>• Cleaver for hard cheeses like Parmesan <br>• Cheese Plane for smooth, even slices</p>",Printworks,The Essentials,The Essentials,"medium-bag, SS26",true,Title,Default Title,,,,,,,,PW00783,1035,shopify,deny,manual,89,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largecheese.jpg?v=1767966163,1,,false,,,,"Vendor: Printworks
Type: The Essentials
Weight: 1035g",,,,,,,,,,,,,,kg,,,active
cheese-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largecheese-3.jpg?v=1767966163,2,,,,,,,,,,,,,,,,,,,,,,,
cheese-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_Large-Cheese_1.jpg?v=1767966163,3,,,,,,,,,,,,,,,,,,,,,,,
cheese-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largecheese-2.jpg?v=1771837692,4,,,,,,,,,,,,,,,,,,,,,,,
